nodes,fostamatinib
GO:2000251,0.00020175032369982343
4869,0.000201654859997341
GO:2000145,0.00020165148627347807
GO:0050853,0.0002016293042776278
25793,0.00020066655995528673
GO:0007155,0.0002004252290383703
GO:0007179,0.00020037781052984862
7189,0.00019983298383593781
10482,0.00019968006739767618
GO:0000082,0.00019935021563801577
GO:0002009,0.00019924901489534272
GO:0007399,0.00019878777207168387
GO:0010595,0.00019878544179890138
GO:0006511,0.00019874853298564743
GO:0035924,0.0001986145487881212
79155,0.0001981505913048147
6794,0.00019734245525953144
1942,0.00019716874177486417
GO:0033119,0.00019688470700325773
GO:0007186,0.00019666020668304067
5335,0.00019637791704001158
GO:2000271,0.0001963610769408609
GO:0071848,0.00019531552715115646
4087,0.00019524784663460176
GO:0006364,0.00019501909895935934
GO:1902533,0.00019412379126163034
GO:0075044,0.00019404932341138913
GO:0051603,0.00019388537587675234
GO:0070498,0.00019365012177450545
GO:0033209,0.00019357335790727435
23327,0.00019280897198257606
GO:0010862,0.00019068239975543328
10013,0.00019062165189527523
7182,0.0001904536099243691
GO:1900084,0.0001901679805427424
GO:0071902,0.00018945707356550373
GO:0090630,0.00018906815771750385
GO:0050789,0.00018897206459707563
GO:0009615,0.00018855849977893882
GO:0006996,0.00018839245406614846
8452,0.0001882411950252234
4137,0.00018805259108502448
GO:0031396,0.0001877048517830083
GO:0006886,0.00018722808032980488
GO:0042769,0.0001871938238024561
6872,0.0001870184797636849
GO:0033141,0.00018689061343029367
GO:0008630,0.00018677568935816132
2023,0.00018651472344107415
7430,0.0001853868784568821
GO:0007099,0.00018512201179907533
5071,0.0001849770337851506
GO:0010631,0.0001848024961453074
998,0.00018453650619120674
GO:0019538,0.00018443376665024618
8517,0.00018441867783172857
1017,0.00018375878035827725
GO:0009411,0.00018374712711747976
GO:0071479,0.00018295756520526955
GO:0030307,0.00018265370274972607
6422,0.00018215328756745607
GO:0050766,0.00018198875022553895
730211,0.00018100862705594113
GO:0007260,0.00018061019964537504
GO:0042531,0.00018031710165888242
